"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 14 23:23:10 UTC 2026","Tue Apr 14 23:23:10 UTC 2026","220","tests","test_search","TestSuccessfulSearch","","","test_SS02_text_search_visual","Text query with visual search option returns a valid response."
"passed","Tue Apr 14 23:23:43 UTC 2026","Tue Apr 14 23:23:43 UTC 2026","214","tests","test_search","TestPagination","","","test_PA01_page_limit_one","page_limit=1 returns at most 1 item."
"passed","Tue Apr 14 23:23:46 UTC 2026","Tue Apr 14 23:23:46 UTC 2026","282","tests","test_search","TestTranscriptionOptions","","","test_TR02_transcription_semantic_only","transcription_options=['semantic'] performs meaning-based matching."
"passed","Tue Apr 14 23:23:13 UTC 2026","Tue Apr 14 23:23:13 UTC 2026","548","tests","test_search","TestSuccessfulSearch","","","test_SS05_response_contains_page_info","SearchResults.page_info is populated."
"passed","Tue Apr 14 23:23:49 UTC 2026","Tue Apr 14 23:23:49 UTC 2026","237","tests","test_search","TestEdgeCases","","","test_EC01_query_with_no_likely_match_returns_empty","A highly improbable query returns an empty list gracefully."
"passed","Tue Apr 14 23:24:04 UTC 2026","Tue Apr 14 23:24:05 UTC 2026","97","tests","test_search","TestErrorHandling","","","test_EH01_nonexistent_index_id_raises_api_error","A non-existent index_id should raise an ApiError (404)."
"passed","Tue Apr 14 23:23:44 UTC 2026","Tue Apr 14 23:23:44 UTC 2026","284","tests","test_search","TestPagination","","","test_PA04_next_page_token_present_when_more_results","next_page_token is set when total_results > page_limit."
"skipped","Tue Apr 14 23:23:44 UTC 2026","Tue Apr 14 23:23:44 UTC 2026","210","tests","test_search","TestPagination","","","test_PA05_retrieve_next_page_via_token","search.retrieve() returns a valid page when given a next_page_token."
"passed","Tue Apr 14 23:23:49 UTC 2026","Tue Apr 14 23:23:49 UTC 2026","98","tests","test_search","TestFiltering","","","test_FI02_filter_by_nonexistent_video_id_raises_bad_request","Filtering by a video ID not in the index raises a 400 BadRequestError."
"skipped","Tue Apr 14 23:24:04 UTC 2026","Tue Apr 14 23:24:04 UTC 2026","213","tests","test_search","TestEdgeCases","","","test_EC05_result_ranks_are_sequential","Results are returned in rank order (1, 2, 3, ...)."
"passed","Tue Apr 14 23:23:43 UTC 2026","Tue Apr 14 23:23:44 UTC 2026","343","tests","test_search","TestPagination","","","test_PA03_page_info_limit_per_page_matches_request","page_info.limit_per_page reflects the requested page_limit."
"passed","Tue Apr 14 23:24:05 UTC 2026","Tue Apr 14 23:24:05 UTC 2026","96","tests","test_search","TestErrorHandling","","","test_EH05_empty_search_options_raises_bad_request","An empty search_options list should raise BadRequestError."
"passed","Tue Apr 14 23:23:49 UTC 2026","Tue Apr 14 23:23:49 UTC 2026","204","tests","test_search","TestEdgeCases","","","test_EC02_long_query_text_within_limit","A long but valid query (well under 500 tokens) is accepted."
"passed","Tue Apr 14 23:23:10 UTC 2026","Tue Apr 14 23:23:12 UTC 2026","1815","tests","test_search","TestSuccessfulSearch","","","test_SS03_text_search_transcription","Text query with transcription search option returns a valid response."
"passed","Tue Apr 14 23:23:46 UTC 2026","Tue Apr 14 23:23:48 UTC 2026","1819","tests","test_search","TestTranscriptionOptions","","","test_TR03_transcription_both_options","transcription_options=['lexical', 'semantic'] is the default and works."
"passed","Tue Apr 14 23:24:05 UTC 2026","Tue Apr 14 23:24:05 UTC 2026","98","tests","test_search","TestErrorHandling","","","test_EH06_unsupported_search_option_raises_bad_request","An unsupported value in search_options should raise BadRequestError."
"passed","Tue Apr 14 23:24:05 UTC 2026","Tue Apr 14 23:24:05 UTC 2026","95","tests","test_search","TestErrorHandling","","","test_EH03_page_limit_exceeds_maximum_raises_bad_request","page_limit=51 (above the max of 50) should raise BadRequestError."
"passed","Tue Apr 14 23:23:14 UTC 2026","Tue Apr 14 23:23:28 UTC 2026","14151","tests","test_search","TestSuccessfulSearch","","","test_SS10_operator_or","Multiple search options with operator='or' broadens search."
"skipped","Tue Apr 14 23:23:13 UTC 2026","Tue Apr 14 23:23:13 UTC 2026","292","tests","test_search","TestSuccessfulSearch","","","test_SS06_search_item_structure_clip_mode","Each SearchItem in clip mode has the expected fields."
"passed","Tue Apr 14 23:23:14 UTC 2026","Tue Apr 14 23:23:14 UTC 2026","205","tests","test_search","TestSuccessfulSearch","","","test_SS09_group_by_clip_explicit","group_by='clip' explicitly returns ungrouped clips."
"passed","Tue Apr 14 23:23:44 UTC 2026","Tue Apr 14 23:23:46 UTC 2026","1790","tests","test_search","TestTranscriptionOptions","","","test_TR01_transcription_lexical_only","transcription_options=['lexical'] performs exact-word matching."
"passed","Tue Apr 14 23:23:49 UTC 2026","Tue Apr 14 23:24:04 UTC 2026","14682","tests","test_search","TestEdgeCases","","","test_EC03_all_three_search_options_with_or","Using visual, audio, and transcription together with or does not error."
"passed","Tue Apr 14 23:23:43 UTC 2026","Tue Apr 14 23:23:43 UTC 2026","220","tests","test_search","TestPagination","","","test_PA02_page_limit_max","page_limit=50 (maximum) returns at most 50 items."
"passed","Tue Apr 14 23:23:28 UTC 2026","Tue Apr 14 23:23:42 UTC 2026","14287","tests","test_search","TestSuccessfulSearch","","","test_SS11_operator_and","Multiple search options with operator='and' narrows search."
"passed","Tue Apr 14 23:23:44 UTC 2026","Tue Apr 14 23:23:44 UTC 2026","93","tests","test_search","TestPagination","","","test_PA06_retrieve_expired_token_raises_error","search.retrieve() with an obviously invalid token raises ApiError."
"passed","Tue Apr 14 23:23:48 UTC 2026","Tue Apr 14 23:23:49 UTC 2026","298","tests","test_search","TestFiltering","","","test_FI01_filter_by_duration_range","Filter by duration range accepts valid JSON filter string."
